class_id,ethnic,n_eff,n_indiv,share_in_class,mean_dkl,class_name
042,Hispanic,2563.3274,34225,0.07489634477720965,-0.02342118432331253,Scientific & Tech Services
043,White,6679.7493,11359,0.5880578660093319,0.06099422697040518,Hotel/Restaurant/Food
043,Black,1344.2449000000001,11359,0.11834183466854478,0.06377359685101013,Hotel/Restaurant/Food
043,API,1467.8331,11359,0.1292220353904393,0.0718573850888934,Hotel/Restaurant/Food
043,AIAN,64.2332,11359,0.005654828770138216,0.05864711452720422,Hotel/Restaurant/Food
043,2+races,219.3194,11359,0.01930798485782199,0.06254081883908831,Hotel/Restaurant/Food
043,Hispanic,1540.7105999999999,11359,0.1356378730522053,0.0722873387724526,Hotel/Restaurant/Food
044,White,13324.956900000001,20185,0.6601415357939064,0.04741044320809565,Medical & Veterinary
044,Black,2646.3784,20185,0.1311061877631905,0.05083944954124538,Medical & Veterinary
044,API,1560.4427,20185,0.07730704483527372,0.0319766835498668,Medical & Veterinary
044,AIAN,124.82300000000001,20185,0.006183948476591529,0.04179630468545718,Medical & Veterinary
044,2+races,388.37519999999995,20185,0.019240782759474856,0.04665433624578511,Medical & Veterinary
044,Hispanic,2061.2812999999996,20185,0.1021194599950458,0.05031355895318286,Medical & Veterinary
045,White,8982.7397,13194,0.6808200469910566,0.01017168972045031,Legal & Personal
045,Black,1954.4759,13194,0.1481336895558587,0.009404480666972555,Legal & Personal
045,API,672.3339,13194,0.050957548885857205,0.024337968113327134,Legal & Personal
045,AIAN,90.06720000000001,13194,0.006826375625284221,0.008855640130895489,Legal & Personal
045,2+races,250.7887,13194,0.01900778384113991,0.012909550227944716,Legal & Personal
045,Hispanic,1196.3117,13194,0.09067088828255267,0.0167583224134112,Legal & Personal
