cls,class_name,year,n_filings,n_unique_owners,top10_count,top10_share,hhi
011,"Lighting, HVAC & Appliances",2021,24575,19516,361,0.014689725330620549,1.0171863697092691
011,"Lighting, HVAC & Appliances",2022,16518,13044,291,0.01761714493280058,1.459953405517793
011,"Lighting, HVAC & Appliances",2023,16810,13659,293,0.017430101130279596,1.3828487264138758
011,"Lighting, HVAC & Appliances",2024,19458,15632,292,0.015006681056634804,1.2217199795198148
011,"Lighting, HVAC & Appliances",2025,18162,14236,248,0.013654883823367471,1.2354397909181862
012,Vehicles,1985,1540,1091,161,0.10454545454545454,25.560802833530108
012,Vehicles,1986,1492,1051,92,0.06166219839142091,16.216964112442408
012,Vehicles,1987,1465,1042,111,0.0757679180887372,18.2413307085697
012,Vehicles,1988,1663,1176,132,0.079374624173181,17.627475575550637
012,Vehicles,1989,1786,1271,107,0.059910414333706606,14.289315053376459
012,Vehicles,1990,2231,1569,141,0.0632003585835948,12.305717829186992
012,Vehicles,1991,2072,1454,130,0.06274131274131274,13.304810602107898
012,Vehicles,1992,2048,1446,123,0.06005859375,12.822151184082031
012,Vehicles,1993,2364,1634,157,0.06641285956006768,13.95366481428993
012,Vehicles,1994,2451,1661,156,0.06364749082007344,13.19871937964521
012,Vehicles,1995,2684,1724,232,0.08643815201192251,20.330778405342915
012,Vehicles,1996,2774,1834,166,0.059841384282624366,11.760767534979509
012,Vehicles,1997,3222,2029,262,0.08131595282433271,15.504825799968483
012,Vehicles,1998,3260,2160,212,0.06503067484662577,11.125748052241333
012,Vehicles,1999,3759,2519,221,0.05879223197658952,9.99074244514239
012,Vehicles,2000,4280,2604,383,0.08948598130841122,15.21966984016071
012,Vehicles,2001,3791,2366,301,0.07939857557372725,14.459686379067278
012,Vehicles,2002,4037,2546,260,0.0644042605895467,11.258872521079935
012,Vehicles,2003,4388,2801,231,0.052643573381950776,8.983853369885052
012,Vehicles,2004,4686,3053,214,0.04566794707639778,8.19269137243565
012,Vehicles,2005,4948,3227,200,0.04042037186742118,6.701057203485368
012,Vehicles,2006,4982,3266,204,0.040947410678442396,6.646972054031207
012,Vehicles,2007,5178,3300,263,0.05079181151023561,7.857768277442028
012,Vehicles,2008,5076,3230,242,0.04767533490937746,7.489004018353648
012,Vehicles,2009,4321,2831,211,0.04883128905345985,8.08042786687684
012,Vehicles,2010,4621,2983,282,0.06102575200173123,9.106175382455856
012,Vehicles,2011,4859,3125,239,0.04918707552994443,7.626044366763221
012,Vehicles,2012,4919,3122,303,0.061597885749136,9.684434081355612
012,Vehicles,2013,5056,3268,205,0.04054588607594937,6.521109147171926
012,Vehicles,2014,5569,3670,209,0.03752917938588615,5.911891821182216
012,Vehicles,2015,6509,4274,325,0.049930864956214474,6.852726058705816
012,Vehicles,2016,7290,4667,253,0.034705075445816184,5.033108096665482
012,Vehicles,2017,7964,5365,229,0.028754394776494226,4.142195883484722
012,Vehicles,2018,8251,5525,397,0.04811537995394498,6.163574580067648
012,Vehicles,2019,8621,5905,425,0.0492982252638905,8.907634318784751
012,Vehicles,2020,11351,8480,245,0.021584001409567437,2.258601777492667
012,Vehicles,2021,13205,9792,299,0.022642938280954185,2.2474361928181996
012,Vehicles,2022,11332,8261,323,0.02850335333568655,2.9683627570727675
012,Vehicles,2023,11762,8785,334,0.0283965312021765,2.722042495551906
012,Vehicles,2024,13660,10610,208,0.015226939970717423,1.65266490742547
012,Vehicles,2025,13532,10083,351,0.025938516109961573,2.3676921233945283
013,Firearms & Pyrotechnics,1985,228,113,112,0.49122807017543857,565.5586334256692
013,Firearms & Pyrotechnics,1986,134,98,34,0.2537313432835821,155.93673423925148
013,Firearms & Pyrotechnics,1987,142,94,42,0.29577464788732394,170.6010712160285
013,Firearms & Pyrotechnics,1988,147,103,36,0.24489795918367346,132.81503077421436
013,Firearms & Pyrotechnics,1989,234,127,89,0.3803418803418803,260.4280809409015
013,Firearms & Pyrotechnics,1990,300,178,78,0.26,153.11111111111111
013,Firearms & Pyrotechnics,1991,288,186,92,0.3194444444444444,168.30632716049388
013,Firearms & Pyrotechnics,1992,311,187,81,0.2604501607717042,127.48007154599314
013,Firearms & Pyrotechnics,1993,343,216,66,0.1924198250728863,83.04362978010863
013,Firearms & Pyrotechnics,1994,384,211,107,0.2786458333333333,138.34635416666666
013,Firearms & Pyrotechnics,1995,462,192,212,0.4588744588744589,553.0256179606827
013,Firearms & Pyrotechnics,1996,402,208,101,0.2512437810945274,109.15571396747602
