cpc_class,decade,total_inventors,n_distinct_surnames,hhi,top5_share
D04,2000,1060,877,0.00275364898540406,0.06509433962264151
D04,2010,1040,891,0.0015735946745562112,0.038461538461538464
D04,2020,749,672,0.001730834704394466,0.030707610146862484
D05,1980,699,591,0.0035468613449419952,0.07439198855507868
D05,1990,547,470,0.0031783803294686964,0.05850091407678245
D05,2000,430,369,0.0035694970254191395,0.05813953488372093
D05,2010,306,262,0.004549532231193132,0.06209150326797386
D06,1980,1953,1579,0.0026582182570488405,0.06451612903225806
D06,1990,2456,1901,0.0017908014939150552,0.05578175895765472
D06,2000,2392,1880,0.0013251389805483157,0.04640468227424749
D06,2010,2133,1751,0.0009985297896185866,0.03609939052977028
D06,2020,1299,1105,0.0012901497628601637,0.036181678214010776
D21,1980,1418,1182,0.0019027972014060612,0.05077574047954866
D21,1990,2183,1775,0.0012240087008909264,0.04489234997709574
D21,2000,1871,1518,0.0010309540452734195,0.03313735970069481
D21,2010,1732,1399,0.001148734059064799,0.03233256351039261
D21,2020,792,696,0.001737705336190186,0.03282828282828283
E01,1980,1510,1221,0.002706021665716413,0.07086092715231788
E01,1990,2201,1707,0.0022118317620692437,0.06269877328487052
E01,2000,2334,1805,0.0016198089565302315,0.05612682090831191
E01,2010,2826,2172,0.0012884603537368362,0.04777070063694268
E01,2020,1591,1318,0.0012337626679930045,0.041483343808925204
E02,1980,2071,1600,0.002727183069595282,0.06615161757605022
E02,1990,2648,1987,0.002020278657551504,0.06533232628398791
E02,2000,2676,2051,0.0013919890249597263,0.0515695067264574
E02,2010,3407,2620,0.001098499790956808,0.04637511006750807
E02,2020,2096,1684,0.0011053405978672572,0.035305343511450385
E03,1980,1060,879,0.002641509433962259,0.0669811320754717
E03,1990,1727,1417,0.001615072309439405,0.05327156919513607
E03,2000,1985,1574,0.0016341706374635968,0.05037783375314862
E03,2010,2449,1910,0.0010422500596488505,0.038383013474887706
E03,2020,1681,1400,0.0010443204503140931,0.030339083878643664
E04,1980,4687,3325,0.0019342252349318222,0.05867292511201195
E04,1990,6528,4452,0.0015065194276239913,0.05376838235294118
E04,2000,7052,4735,0.0011271909603371008,0.048355076574021556
E04,2010,9792,6362,0.0008700788492139767,0.042994281045751634
E04,2020,5369,3814,0.0009760231339858256,0.04395604395604396
E05,1980,2698,2126,0.001907900918836725,0.05670867309117865
E05,1990,3792,2872,0.0014328967045879396,0.052478902953586495
E05,2000,3883,2970,0.0012164331019163478,0.046613443214009787
E05,2010,4854,3616,0.0008731261021243465,0.039761021837659664
E05,2020,3064,2415,0.0008653511851604426,0.03524804177545692
E06,1980,1545,1255,0.0019551533813009976,0.05825242718446602
E06,1990,2199,1729,0.0018858048875413837,0.054570259208731244
E06,2000,2195,1729,0.001474255530014889,0.04874715261958998
E06,2010,2864,2222,0.0010728441684092257,0.04120111731843575
E06,2020,1663,1342,0.0012529067255237542,0.0396873120865905
E21,1980,5490,3593,0.0026084850415227555,0.06648451730418943
E21,1990,4915,3384,0.0016516383814780067,0.05534079348931841
E21,2000,6348,4198,0.0010616643816389396,0.046156269691241335
E21,2010,12174,7359,0.0007502921131356139,0.03753901757844587
E21,2020,8324,5433,0.0006711601568480388,0.03207592503604036
F01,1980,3123,2448,0.0017892719351912598,0.057957092539225104
F01,1990,4431,3344,0.0011918755657665389,0.047844730309185284
F01,2000,6537,4816,0.0006790870873552547,0.03380755698332569
F01,2010,10877,7317,0.0005823641893264214,0.032177990254665806
F01,2020,6558,4813,0.0005744132562972243,0.0292772186642269
F02,1980,4666,3434,0.0014070652552348613,0.051221603086155164
F02,1990,6006,4380,0.0009132836305663481,0.040459540459540456
F02,2000,8477,6026,0.0006693753865266776,0.03432818213990799
F02,2010,11621,7900,0.0005192463895019086,0.030117890026675847
F02,2020,6508,4805,0.0005371385376383249,0.028119237861094038
F03,1980,900,748,0.0031111111111110958,0.07444444444444444
F03,1990,480,430,0.003411458333333332,0.06041666666666667
F03,2000,1003,866,0.0019294061981552828,0.049850448654037885
F03,2010,3037,2350,0.0009552908487126556,0.038854132367467896
F03,2020,1635,1381,0.001059020471527837,0.03058103975535168
F04,1980,2621,2045,0.0016767979578554398,0.0545593285005723
F04,1990,3724,2872,0.0010354642167794811,0.04054779806659506
F04,2000,4940,3658,0.0008486452818436637,0.03785425101214575
F04,2010,6773,4912,0.0006623645632320987,0.0336630739701757
F04,2020,4274,3260,0.0007920260472995233,0.03603182030884417
F15,1980,847,738,0.0024769692044565956,0.05785123966942149
F15,1990,928,809,0.002108724732461354,0.05495689655172414
F15,2000,1227,1056,0.001500469270269786,0.04156479217603912
F15,2010,1542,1308,0.0011708479058476788,0.03696498054474708
F15,2020,842,760,0.0015995170417679864,0.0332541567695962
F16,1980,14052,8788,0.0015471792015813103,0.055081127241673786
F16,1990,17896,10894,0.0011394873954097074,0.04883772910147519
F16,2000,18778,11572,0.0007464778326388858,0.041431462349557996
F16,2010,24770,14624,0.0005588955736335043,0.03467904723455793
F16,2020,14091,9114,0.0005700096689462068,0.03321268895039387
F17,1980,485,443,0.0036348177277075165,0.06391752577319587
F17,1990,667,585,0.0030906585687665907,0.06446776611694154
F17,2000,830,737,0.0019654521701262927,0.04457831325301205
F17,2010,1269,1081,0.00134938687660717,0.03546099290780142
F17,2020,664,595,0.0019278922920598041,0.03162650602409638
F21,1980,1492,1244,0.001888535100518224,0.05227882037533512
F21,1990,2383,1906,0.0011613596025420647,0.03986571548468317
F21,2000,3363,2578,0.0009689853081879921,0.03954802259887006
F21,2010,6444,4541,0.0007291005621269966,0.03569211669770329
F21,2020,3728,2852,0.0008083186741328812,0.032457081545064374
F22,1980,568,495,0.00450679428684786,0.07746478873239436
F22,1990,371,334,0.004235656526761645,0.07277628032345014
F22,2010,441,411,0.0028331816475645447,0.04308390022675737
F23,1980,2423,1883,0.00195522718806513,0.05984316962443252
F23,1990,2787,2197,0.0016318266841706642,0.054180121994976675
F23,2000,2891,2270,0.00136075160677689,0.048080249048772054
F23,2010,3227,2499,0.0008144213167313406,0.03315773163929346
F23,2020,1640,1378,0.0011094586555621625,0.03231707317073171
F24,1980,3634,2713,0.0019167109143783318,0.06219042377545404
F24,1990,3007,2313,0.0015550678833967828,0.05320917858330562
F24,2000,3095,2358,0.0013167310869321243,0.0494345718901454
F24,2010,5720,4172,0.0006984449117316255,0.033566433566433566
F24,2020,4694,3544,0.0006368445044658091,0.0293992330634853
F25,1980,1998,1631,0.0020651281912543156,0.056056056056056056
F25,1990,2746,2167,0.001405739341976066,0.049526584122359794
F25,2000,3004,2396,0.0010081985670238184,0.0396138482023968
F25,2010,4171,3177,0.0007253448980789535,0.03140733637017502
F25,2020,2912,2300,0.0008287986052409128,0.030906593406593408
F26,1980,591,517,0.0033182451951294227,0.07106598984771574
F26,1990,943,807,0.0024908658879571437,0.05832449628844114
F26,2000,718,635,0.002060039881751379,0.04317548746518106
F26,2010,764,663,0.0020181738439187524,0.04450261780104712
F26,2020,358,321,0.0037452014606285666,0.055865921787709494
F27,1980,846,750,0.0030710505284218814,0.06855791962174941
F27,1990,826,714,0.0024975229965585833,0.06174334140435835
F27,2000,638,571,0.002633621918023607,0.05799373040752351
