cpc_class,decade,total_inventors,n_distinct_surnames,hhi,top5_share
D05,2000,1103,909,0.0014902076180597053,0.033544877606527655
D05,2010,803,673,0.001980431414573928,0.04234122042341221
D05,2020,520,454,0.0026035502958579896,0.038461538461538464
D06,1980,4631,3667,0.0007506704813043223,0.03217447635499892
D06,1990,5422,4052,0.0007260337102241079,0.03725562523054224
D06,2000,5314,3899,0.0008465010087611997,0.04309371471584494
D06,2010,6493,4195,0.0035372477211238797,0.10056984444786693
D06,2020,4516,2552,0.006854577092687271,0.1479185119574845
D21,1980,3418,2844,0.0006291340957810869,0.02545348156816852
D21,1990,5165,4144,0.0004368895190560491,0.020716360116166507
D21,2000,4837,3915,0.0003889886589781606,0.015298738887740335
D21,2010,4682,3721,0.00048446420904329547,0.02285348141819735
