surface,cls,x,y,n,n_effective,rate_raw,rate_eb,value_raw,value_eb,z,p,sig_naive,sig_bh
survival,009,5.1111,5.04,5455,4435.0,0.45023,0.45051,-1.1543,-1.1259,-1.542,0.1231,false,false
survival,009,5.1111,5.36,2675,1925.7,0.48785,0.48648,2.6078,2.4705,2.296,0.0217,true,true
survival,009,5.1111,5.68,184,107.4,0.59239,0.52691,13.0619,6.5134,2.715,0.006625,true,true
survival,009,5.2889,4.08,92,80.9,0.83696,0.62219,37.5184,16.0423,6.769,1.297e-11,true,true
survival,009,5.2889,4.72,379,310.7,0.62269,0.58112,16.0919,11.9348,5.69,1.273e-8,true,true
survival,009,5.2889,5.04,2434,2024.0,0.51397,0.51133,5.2197,4.9557,4.71,2.473e-6,true,true
survival,009,5.2889,5.36,6002,4320.6,0.43086,0.43162,-3.0916,-3.015,-4.076,0.00004578,true,true
survival,009,5.2889,5.68,873,509.9,0.47652,0.47399,1.4746,1.2217,0.668,0.5042,false,false
survival,009,5.4667,4.72,195,160.4,0.69744,0.60246,23.5664,14.0692,5.987,2.141e-9,true,true
survival,009,5.4667,5.04,818,722.2,0.59046,0.57369,12.8692,11.1923,6.937,4.003e-12,true,true
survival,009,5.4667,5.36,5099,3946.4,0.46225,0.46224,0.0475,0.0472,0.06,0.9522,false,false
survival,009,5.4667,5.68,3426,2290.3,0.46731,0.46707,0.5537,0.5302,0.531,0.5951,false,false
survival,009,5.4667,6.0,234,148.5,0.55128,0.51364,8.951,5.1863,2.188,0.02865,true,false
survival,009,5.6444,4.72,109,95.1,0.6789,0.56333,21.7127,10.1558,4.246,0.00002173,true,true
survival,009,5.6444,5.04,358,205.4,0.61732,0.56366,15.5546,10.1893,4.472,7.752e-6,true,true
survival,009,5.6444,5.36,2073,1303.0,0.52677,0.5218,6.5001,6.0029,4.706,2.521e-6,true,true
survival,009,5.6444,5.68,5999,4662.4,0.43824,0.43878,-2.3532,-2.2989,-3.223,0.001268,true,true
survival,009,5.6444,6.0,1169,978.8,0.4799,0.47812,1.8125,1.635,1.137,0.2554,false,false
survival,009,5.8222,5.04,110,92.3,0.64545,0.54639,18.3682,8.4621,3.541,0.0003993,true,true
survival,009,5.8222,5.36,586,462.0,0.59044,0.56603,12.8671,10.4257,5.547,2.9e-8,true,true
survival,009,5.8222,5.68,3866,3044.9,0.49198,0.49095,3.0209,2.9181,3.344,0.0008267,true,true
survival,009,5.8222,6.0,3864,3012.0,0.44953,0.44997,-1.2238,-1.1801,-1.347,0.1779,false,false
survival,009,5.8222,6.32,412,83.3,0.48786,0.4733,2.6092,1.1525,0.478,0.6328,false,false
survival,009,6.0,5.36,255,182.7,0.59608,0.54615,13.4306,8.4376,3.641,0.0002715,true,true
survival,009,6.0,5.68,1391,1222.4,0.51977,0.51507,5.7998,5.3296,4.067,0.00004753,true,true
survival,009,6.0,6.0,5180,3981.1,0.45,0.45032,-1.1772,-1.1451,-1.49,0.1362,false,false
survival,009,6.0,6.32,1383,1140.2,0.50036,0.49704,3.8589,3.5265,2.614,0.008956,true,true
survival,009,6.1778,5.36,117,70.7,0.67521,0.54618,21.3441,8.4413,3.6,0.0003177,true,true
