year,ethnic,tier,weight_in_tier,share_within_ethnic
1922,AIAN,FOOD_HYG,0.0374,0.14379084967320263
1922,AIAN,IP_HIGH,0.0088,0.03383314109957709
1922,AIAN,MANUF,0.1892,0.7274125336409074
1922,AIAN,OTHER,0.0247,0.09496347558631296
1923,White,FOOD_HYG,5.7078,0.1522161181929703
1923,White,IP_HIGH,1.3735,0.036628620193076965
1923,White,MANUF,29.0184,0.7738652728145502
1923,White,OTHER,1.3983,0.03728998879940264
1923,Black,FOOD_HYG,0.8756999999999999,0.18021485018109973
1923,Black,IP_HIGH,0.5044000000000001,0.10380309515969707
1923,Black,MANUF,3.0298,0.6235182746131049
1923,Black,OTHER,0.44930000000000003,0.09246378004609812
1923,API,FOOD_HYG,0.1136,0.31363887355052456
1923,API,IP_HIGH,0.0104,0.02871341800110436
1923,API,MANUF,0.2192,0.605190502484815
1923,API,OTHER,0.019,0.05245720596355604
1923,Hispanic,FOOD_HYG,1.0546000000000002,0.2552892762043089
1923,Hispanic,IP_HIGH,0.0465,0.011256354393609294
1923,Hispanic,MANUF,1.9487,0.4717259743403534
1923,Hispanic,OTHER,1.0812,0.26172839506172835
1923,Two+,FOOD_HYG,0.1739,0.2534615945197493
1923,Two+,IP_HIGH,0.045899999999999996,0.06689986882378661
1923,Two+,MANUF,0.4436,0.6465529806150706
1923,Two+,OTHER,0.0227,0.033085556041393384
1923,AIAN,FOOD_HYG,0.0421,0.1708603896103896
1923,AIAN,IP_HIGH,0.0191,0.07751623376623376
1923,AIAN,MANUF,0.1751,0.7106331168831169
1923,AIAN,OTHER,0.010100000000000001,0.040990259740259744
1924,White,FOOD_HYG,6.7838,0.21385697892891822
1924,White,MANUF,21.7656,0.6861531089618299
1924,White,OTHER,3.1718,0.09998991210925186
1924,Black,FOOD_HYG,1.3749,0.19986335620420978
1924,Black,MANUF,4.9011000000000005,0.7124520293057331
1924,Black,OTHER,0.6032,0.08768461449005696
1924,API,FOOD_HYG,0.08879999999999999,0.2073313098295587
1924,API,MANUF,0.31880000000000003,0.7443380807844969
1924,API,OTHER,0.0207,0.048330609385944426
1924,Hispanic,FOOD_HYG,0.5053,0.30799707424113126
1924,Hispanic,MANUF,1.0417,0.6349506278190906
1924,Hispanic,OTHER,0.0936,0.05705229793977813
1924,Two+,FOOD_HYG,0.1648,0.2074260541220894
1924,Two+,MANUF,0.5537,0.6969162995594714
1924,Two+,OTHER,0.076,0.09565764631843929
1924,AIAN,FOOD_HYG,0.0487,0.11496694995278565
1924,AIAN,MANUF,0.3485,0.822710103871577
1924,AIAN,OTHER,0.0264,0.0623229461756374
1925,White,FOOD_HYG,9.0349,0.23174194408891194
1925,White,IP_HIGH,0.7474999999999999,0.019173106864100505
1925,White,MANUF,24.4094,0.626092354098428
1925,White,OTHER,4.7951,0.12299259494855964
1925,Black,FOOD_HYG,0.8981,0.15503193509407903
1925,Black,IP_HIGH,0.3309,0.0571206628689798
1925,Black,MANUF,3.7303,0.6439323321249784
1925,Black,OTHER,0.8337000000000001,0.1439150699119627
1925,API,FOOD_HYG,0.3256,0.25314881044938575
1925,API,IP_HIGH,0.7410000000000001,0.5761156896283626
1925,API,MANUF,0.1837,0.14282382211164668
1925,API,OTHER,0.0359,0.027911677810604878
1925,Hispanic,FOOD_HYG,0.4404,0.2833794479119748
1925,Hispanic,IP_HIGH,0.0393,0.02528794800849366
1925,Hispanic,MANUF,0.9117000000000001,0.5866417862428416
1925,Hispanic,OTHER,0.1627,0.10469081783669006
1925,Two+,FOOD_HYG,0.1723,0.1946232915395911
1925,Two+,IP_HIGH,0.1193,0.1347565796905004
1925,Two+,MANUF,0.4678,0.5284084491132949
1925,Two+,OTHER,0.1259,0.14221167965661358
